City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Yellowknife,CA,48.72,broken clouds,62.456,-114.3525,The Explorer Hotel
143,Apomu,NG,71.82,light rain,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
145,Changping,CN,62.24,light rain,40.2186,116.2197,Huachang Hotel
146,Kalmunai,LK,79.75,broken clouds,7.4167,81.8167,VS Villa
147,College,US,46.65,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
148,Eyl,SO,78.01,broken clouds,7.9803,49.8164,Amiin Hotel
149,Turan,VN,77.05,scattered clouds,16.0678,108.2208,Sun River Hotel
150,Gazanjyk,TM,69.87,clear sky,39.2446,55.5154,Railway motel
151,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
152,Dongsheng,CN,54.77,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
153,Moyale,KE,74.26,scattered clouds,3.5167,39.0584,La Tahzan Guest House
154,Mar Del Plata,AR,57.22,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
155,Belyy Yar,RU,51.69,clear sky,53.6039,91.3903,Pasportnyy Stol
156,Tahta,EG,84.52,clear sky,26.7693,31.5021,El Salam Hotel
157,Bengkulu,ID,73.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
158,Kihei,US,84.97,scattered clouds,20.785,-156.4656,Maui Sunset
159,Tadpatri,IN,83.37,overcast clouds,14.9167,78.0167,VASAVI TIFFIN CENTRE
161,Fort Nelson,CA,54.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
162,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Nelson Bay,AU,59.95,clear sky,-32.7167,152.15,Mantra Nelson Bay
165,Kloulklubed,PW,83.44,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
166,Akdepe,TM,57.29,clear sky,42.0551,59.3788,Мой дом
168,Sorland,NO,52.23,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
169,Coihaique,CL,50.61,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
170,Mogadishu,SO,77.18,clear sky,2.0371,45.3438,Hotel Juba
172,Severo-Kurilsk,RU,50.0,overcast clouds,50.6789,156.125,Kak Doma
173,Festus,US,85.53,overcast clouds,38.2206,-90.396,"Holiday Inn Express & Suites Festus - South St. Louis, an IHG Hotel"
174,Sanary-Sur-Mer,FR,67.95,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
176,Palmer,US,73.33,few clouds,42.1584,-72.3287,Wedgewood Motel
177,Kirakira,SB,82.22,light rain,-10.4544,161.9205,SanBiz Lodge
178,Ancud,CL,51.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
179,Rongcheng,CN,70.23,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
180,Kaeo,NZ,64.33,scattered clouds,-35.1,173.7833,Bushido Lodge
181,Guia De Isora,ES,70.23,scattered clouds,28.2115,-16.7795,La Vista Pension
182,Leland,US,84.45,clear sky,34.2563,-78.0447,Leland Station
183,Sutton,GB,61.32,overcast clouds,51.35,-0.2,"Holiday Inn London - Sutton, an IHG Hotel"
184,Thompson,CA,53.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
185,Shenjiamen,CN,77.52,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
186,Batemans Bay,AU,64.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
189,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
190,Nishihara,JP,77.05,few clouds,26.1842,127.7558,Minshuku Agaihama
191,Kuytun,RU,46.8,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
193,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
194,Castro,BR,65.7,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
196,Goderich,CA,76.03,clear sky,43.7501,-81.7165,Harmony Inn
197,Bethel,US,74.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
198,Paoua,CF,70.05,light rain,7.2427,16.4406,Quartier Paoua Elien
199,Camacha,PT,70.56,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
200,Constitucion,CL,53.65,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
202,Mataram,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
203,Da Lat,VN,58.78,overcast clouds,11.9465,108.4419,Khách Sạn Dragon King I
204,Rawson,AR,55.08,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
205,San Rafael,AR,63.28,clear sky,-34.6177,-68.3301,Hotel San Rafael
207,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
210,Nampula,MZ,64.35,clear sky,-15.1165,39.2666,BUTIK Hotel
212,Ambanja,MG,72.36,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
213,Hualmay,PE,63.36,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
214,Yulara,AU,62.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
216,Monrovia,LR,76.86,light rain,6.3005,-10.7969,Sunset Inn
217,Shintomi,JP,69.12,few clouds,32.0785,131.4723,ホテルスイート
219,Tucupita,VE,79.75,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
220,Cubatao,BR,87.53,broken clouds,-23.895,-46.4253,Hotel do Farol
222,La Grande,US,61.56,moderate rain,45.3246,-118.0877,Travelodge by Wyndham La Grande
223,Pratapgarh,IN,71.73,broken clouds,24.0333,74.7833,Ratna Hotel
224,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
225,Neftcala,AZ,71.35,clear sky,39.3742,49.2472,Otel restoran
226,Sao Filipe,CV,80.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
227,Liverpool,GB,55.35,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
228,Virginia Beach,US,82.42,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
229,Micoud,LC,84.13,few clouds,13.8167,-60.9,Zamacà
230,Sitka,US,55.29,broken clouds,57.0531,-135.33,Westmark Sitka
231,High Prairie,CA,52.9,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
232,Kalianget,ID,78.3,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
233,Redmond,US,66.85,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
234,Acari,PE,65.53,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
235,Jimma,ET,57.7,few clouds,7.6667,36.8333,Jimma Central Hotel
237,Norrtalje,SE,51.03,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
238,Port Blair,IN,79.97,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
239,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
240,Yeppoon,AU,64.18,clear sky,-23.1333,150.7333,Villa Mar Colina
241,Cidreira,BR,66.76,moderate rain,-30.1811,-50.2056,Hotel Castelo
242,Ribeira Grande,PT,69.78,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
243,Bubaque,GW,81.01,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
244,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
245,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
246,Tete,MZ,68.09,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
247,Santiago Del Estero,AR,85.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
250,Mineiros,BR,83.91,few clouds,-17.5694,-52.5511,Pilões Palace Hotel
251,Umm Lajj,SA,83.89,clear sky,25.0213,37.2685,Moon light Furnished Units
252,Sanming,CN,76.3,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
253,Petropavlovsk-Kamchatskiy,RU,48.79,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
254,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
255,Edgewater,US,84.0,light rain,28.9889,-80.9023,Islander Beach Resort
258,Palembang,ID,73.22,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
259,Kosonsoy,UZ,61.36,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
261,Grand Forks,US,80.33,smoke,47.9417,-97.4337,Warrior Inn
262,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
265,Raudeberg,NO,55.87,overcast clouds,61.9875,5.1352,Nordre Silda.
266,Zalantun,CN,44.47,light rain,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
267,Yining,CN,71.28,light rain,29.0361,114.5636,Xiushui Hotel
268,Hasaki,JP,66.6,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
269,Chantilly,US,81.32,few clouds,38.8943,-77.4311,Hampton Inn Washington-Dulles Int'l Airport South
270,Salsomaggiore Terme,IT,61.92,broken clouds,44.8148,9.9796,Hotel Ferrari
272,Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
273,Ciudad Del Maiz,MX,78.4,scattered clouds,22.4,-99.6,Hotel Casona del General
275,Sedalia,US,87.85,few clouds,38.7045,-93.2283,Best Western State Fair Inn
276,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
278,Laguna,US,83.21,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
279,Gold Coast,AU,69.87,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
280,Augusta,DE,55.6,overcast clouds,48.3667,10.8833,Hotel am Rathaus
281,Svetlyy,RU,50.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
283,Gushikawa,JP,77.0,clear sky,26.3544,127.8686,Kirari Guest House
284,Guerrero Negro,MX,75.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
286,Thunder Bay,CA,82.38,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
287,Sambava,MG,70.47,light rain,-14.2667,50.1667,Melrose
288,Quatre Cocos,MU,69.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
289,Nohar,IN,85.06,few clouds,29.1833,74.7667,Hotel Eva Inn
290,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
293,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
296,Ketchikan,US,55.87,light rain,55.3422,-131.6461,Snow's Cove Lodge
297,Vicente Guerrero,MX,64.06,overcast clouds,19.1194,-98.1708,Churros Inn
299,Rafraf,TN,75.51,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
301,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
302,Lethem,GY,84.25,light intensity shower rain,3.3803,-59.7968,Savannah Inn
304,La Ronge,CA,57.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
305,Ucluelet,CA,61.05,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
306,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
307,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
308,Sydney Mines,CA,61.81,scattered clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
310,Peleduy,RU,44.28,overcast clouds,59.6289,112.7406,Гостиница «Уют»
312,Manacor,ES,71.51,scattered clouds,39.5696,3.2096,Hotel Can Guixa
313,Barraute,CA,68.27,clear sky,48.4335,-77.6328,Auberge La Fille d'à côté
315,Huron,US,84.69,scattered clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
317,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
318,Zhuhai,CN,82.18,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
319,Cayenne,GF,84.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
320,Ploemeur,FR,58.95,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
321,Fortuna,US,72.43,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
325,Abaete,BR,85.23,broken clouds,-19.16,-45.4458,Hotel Millenium
327,Solnechnyy,RU,48.67,clear sky,50.7214,136.6319,Hotel complex Pastoral
328,Saint-Pierre,RE,64.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
329,Slave Lake,CA,49.98,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
330,Vanderhoof,CA,60.19,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
331,Esperance,AU,51.64,broken clouds,-33.8667,121.9,Hospitality Esperance
333,Dingle,PH,75.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
334,Sao Sebastiao Do Paraiso,BR,84.36,overcast clouds,-20.9169,-46.9914,BM Hotel
335,Humberto De Campos,BR,78.8,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
336,Huarmey,PE,64.4,clear sky,-10.0681,-78.1522,Hotel Miramar
337,Zhangjiakou,CN,55.98,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
339,Taltal,CL,61.27,few clouds,-25.4,-70.4833,Residencial Karime
340,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
341,Richards Bay,ZA,65.84,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
342,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
344,Klaksvik,FO,50.92,scattered clouds,62.2266,-6.589,Airbnb rooms
345,Necochea,AR,55.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
346,Tabou,CI,77.85,broken clouds,4.423,-7.3528,hotêl doufoulougou
347,Elat,IL,85.84,clear sky,29.5581,34.9482,Club Hotel Eilat
348,Joetsu,JP,68.41,scattered clouds,37.1483,138.2364,Joetsu Sun Plaza Hotel
349,Ballina,AU,63.95,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
351,Sukhumi,GE,67.87,overcast clouds,43.0033,41.0153,Ritsa Hotel
354,Paducah,US,79.61,scattered clouds,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
355,Uvaly,CZ,53.17,overcast clouds,50.0739,14.7308,Da Antonio Residence
356,Yanam,IN,77.0,heavy intensity rain,16.7333,82.2167,The Regency Hotel
358,Itape,PY,87.53,overcast clouds,-25.85,-56.6167,Santuario Diocesano Virgen Del Paso
359,Ula,IN,82.38,thunderstorm with rain,22.7225,88.5556,Bachhawat Estate
362,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
363,Bekovo,RU,47.53,light rain,52.4663,43.712,Plyazh
364,Iwanai,JP,61.68,broken clouds,42.9744,140.5089,いわない高原ホテル
365,Bom Jesus,BR,84.88,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
366,Lata,PT,63.07,clear sky,40.1629,-8.3327,Casa Maquia
367,Thayetmyo,MM,74.82,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
368,Hella,NO,49.87,clear sky,67.2,14.4333,Kobbosen
